"","YEAR","SEGMENT","FUEL_TYPE","preds","mpg.lagpct"
"122",2022,"Heavy","Gas",14.8015335845751,0.103692710695564
"123",2023,"Heavy","Gas",16.3363447244107,0.103692710695533
"124",2024,"Heavy","Gas",18.030304591742,0.103692710695564
"125",2025,"Heavy","Gas",19.8999157495264,0.103692710695564
"126",2026,"Heavy","Gas",21.9633919562082,0.103692710695564
"127",2027,"Heavy","Gas",24.2408356042166,0.103692710695564
"128",2028,"Heavy","Gas",26.7544335575433,0.103692710695564
"129",2029,"Heavy","Gas",29.5286732962493,0.103692710695564
"130",2030,"Heavy","Gas",32.5905814735802,0.103692710695533
"131",2018,"Light","Gas",19.0730685790342,NA
"132",2019,"Light","Gas",19.4358951029471,0.0190229758997337
"133",2020,"Light","Gas",19.805623667078,0.019022975899618
"134",2021,"Light","Gas",20.182385568776,0.0190229758997337
"135",2022,"Light","Gas",20.56631460305,0.0190229758997338
"136",2023,"Light","Gas",20.9575471100878,0.0190229758996178
"137",2024,"Light","Gas",21.3562220236805,0.0190229758997338
"138",2025,"Light","Gas",21.7624809205451,0.0190229758996758
"139",2026,"Light","Gas",22.1764680706151,0.0190229758997338
"140",2027,"Light","Gas",22.598330488261,0.019022975899618
"141",2028,"Light","Gas",23.0282179845134,0.0190229758997338
"142",2029,"Light","Gas",23.4662832202453,0.0190229758996758
"143",2030,"Light","Gas",23.9126817603976,0.0190229758996179
"144",2018,"Medium","Gas",9.41719866559495,NA
"145",2019,"Medium","Gas",9.44500226311036,0.00295242762765374
"146",2020,"Medium","Gas",9.47288794873495,0.00295242762762519
"147",2021,"Medium","Gas",9.50085596482846,0.00295242762765359
"148",2022,"Medium","Gas",9.52890655446565,0.00295242762768225
"149",2023,"Medium","Gas",9.55703996143757,0.00295242762756816
"150",2024,"Medium","Gas",9.58525643025831,0.00295242762765374
"151",2025,"Medium","Gas",9.61355620616087,0.00295242762762511
"152",2026,"Medium","Gas",9.64193953510394,0.00295242762765358
"153",2027,"Medium","Gas",9.67040666377155,0.00295242762765369
"154",2028,"Medium","Gas",9.69895783957604,0.00295242762762533
"155",2029,"Medium","Gas",9.72759331066105,0.00295242762765365
"156",2030,"Medium","Gas",9.75631332590175,0.00295242762762517
"157",2018,"Heavy","HEV",8.42953251208342,NA
"158",2019,"Heavy","HEV",7.53263082876318,-0.106399931672909
"159",2020,"Heavy","HEV",6.73115942326591,-0.106399931672858
"160",2021,"Heavy","HEV",6.01496452055131,-0.106399931672858
"161",2022,"Heavy","HEV",5.37497270654998,-0.106399931672858
"162",2023,"Heavy","HEV",4.80307597782958,-0.106399931672858
"163",2024,"Heavy","HEV",4.29202902196897,-0.106399931672858
"164",2025,"Heavy","HEV",3.83535742729355,-0.106399931672858
"165",2026,"Heavy","HEV",3.42727565908852,-0.106399931672858
"166",2027,"Heavy","HEV",3.06261376313745,-0.106399931672858
"167",2028,"Heavy","HEV",2.73675186799927,-0.106399931672858
"168",2029,"Heavy","HEV",2.44556165623858,-0.106399931672858
"169",2030,"Heavy","HEV",2.18535406311304,-0.106399931672858
"170",2018,"Light","HEV",34.8618511318898,NA
"171",2019,"Light","HEV",34.1216659482769,-0.0212319529680912
"172",2020,"Light","HEV",33.3971963416711,-0.0212319529680636
"173",2021,"Light","HEV",32.6881086396805,-0.0212319529680356
"174",2022,"Light","HEV",31.9940762544278,-0.0212319529680635
"175",2023,"Light","HEV",31.3147795321372,-0.0212319529680635
"176",2024,"Light","HEV",30.6499056059065,-0.0212319529680357
"177",2025,"Light","HEV",29.9991482516063,-0.0212319529680634
"178",2026,"Light","HEV",29.362207746847,-0.0212319529680357
"179",2027,"Light","HEV",28.7387907329275,-0.0212319529680634
"180",2028,"Light","HEV",28.1286100797269,-0.0212319529680636
"181",2029,"Light","HEV",27.531384753458,-0.0212319529680357
"182",2030,"Light","HEV",26.9468396872269,-0.0212319529680635
"183",2018,"Medium","HEV",19.2873578381812,NA
"184",2019,"Medium","HEV",17.1659769569958,-0.109988153845824
"185",2020,"Medium","HEV",15.2779228425368,-0.109988153845774
"186",2021,"Medium","HEV",13.597532314488,-0.109988153845774
"187",2022,"Medium","HEV",12.1019648383592,-0.109988153845774
"188",2023,"Medium","HEV",10.7708920678816,-0.109988153845774
"189",2024,"Medium","HEV",9.58622153406323,-0.109988153845774
"190",2025,"Medium","HEV",8.53185072517501,-0.109988153845774
"191",2026,"Medium","HEV",7.59344821502529,-0.109988153845774
"192",2027,"Medium","HEV",6.75825886453117,-0.109988153845774
"193",2028,"Medium","HEV",6.01493044880955,-0.109988153845774
"194",2029,"Medium","HEV",5.35335935323426,-0.109988153845774
"195",2030,"Medium","HEV",4.76455324109902,-0.109988153845774
"196",2018,"Heavy","OTH",4.5101635910315,NA
"197",2019,"Heavy","OTH",3.92464473408266,-0.12982208851873
"198",2020,"Heavy","OTH",3.41513915801001,-0.129822088518731
"199",2021,"Heavy","OTH",2.97177865993522,-0.129822088518681
"200",2022,"Heavy","OTH",2.58597614768718,-0.129822088518681
"201",2023,"Heavy","OTH",2.25025932333481,-0.12982208851873
"202",2024,"Heavy","OTH",1.95812595827085,-0.129822088518681
"203",2025,"Heavy","OTH",1.70391795678549,-0.129822088518681
"204",2026,"Heavy","OTH",1.48271176897103,-0.12982208851873
"205",2027,"Heavy","OTH",1.29022303045198,-0.129822088518681
"206",2028,"Heavy","OTH",1.1227235819838,-0.129822088518681
"207",2029,"Heavy","OTH",0.97696926174149,-0.129822088518681
"208",2030,"Heavy","OTH",0.850137071763608,-0.12982208851873
"209",2018,"Light","OTH",18.6525944903377,NA
"210",2019,"Light","OTH",17.7780405845298,-0.0468864482236448
"211",2020,"Light","OTH",16.9444914051449,-0.0468864482236721
"212",2021,"Light","OTH",16.1500243862025,-0.0468864482235907
"213",2022,"Light","OTH",15.3928071040087,-0.0468864482236178
"214",2023,"Light","OTH",14.6710930507096,-0.046886448223672
"215",2024,"Light","OTH",13.983217606004,-0.0468864482235907
"216",2025,"Light","OTH",13.3275941977205,-0.0468864482236178
"217",2026,"Light","OTH",12.7027106424234,-0.0468864482236449
"218",2027,"Light","OTH",12.1071256575878,-0.0468864482236179
"219",2028,"Light","OTH",11.5394655373065,-0.0468864482236178
"220",2029,"Light","OTH",10.9984209838636,-0.0468864482235907
"221",2030,"Light","OTH",10.4827440878616,-0.046886448223672
"222",2018,"Medium","OTH",7.48402663171005,NA
"223",2019,"Medium","OTH",6.70134504825118,-0.104580277700059
"224",2020,"Medium","OTH",6.00051652214116,-0.104580277700059
"225",2021,"Medium","OTH",5.37298083791215,-0.104580277700008
"226",2022,"Medium","OTH",4.81107300980648,-0.104580277700008
"227",2023,"Medium","OTH",4.30792965840572,-0.104580277700046
"228",2024,"Medium","OTH",3.85740517841749,-0.104580277700021
"229",2025,"Medium","OTH",3.45399667365714,-0.104580277700008
"230",2026,"Medium","OTH",3.09277674235104,-0.104580277700046
"231",2027,"Medium","OTH",2.7693332917718,-0.104580277700021
"232",2028,"Medium","OTH",2.47971564707443,-0.104580277700008
"233",2029,"Medium","OTH",2.22038629608637,-0.104580277699995
"234",2030,"Medium","OTH",1.98817768064025,-0.104580277700059
